对应单独数据表的哪一列,,,,,,,W,X,W+X,AC,AD,AC+AD,
model name,bs,gpu resource,hit sum,miss sum,hit+miss sum,hit rate,l1 read from l2,l1 write to l2,l1 read+write from/to l2,l2 read from dram,l2 write to dram,l2 read+write from/to dram,real time
vgg19,1,10,37387583,46526792,83914375,0.445544437,82085524,10681245,92766769,48848910,8061323,56910233,27.4591577
vgg19,1,25,37250499,46388936,83639435,0.445370046,81976780,10680776,92657556,47238505,8568473,55806978,10.64843715
vgg19,1,50,45933296,37415646,83348942,0.551096329,81750879,10678800,92429679,38032100,7329013,45361113,6.122538891
vgg19,1,75,49884325,35019084,84903409,0.587542074,81794479,10675275,92469754,35423817,7698951,43122768,5.125228777
vgg19,1,100,52067501,32719100,84786601,0.614100582,81720725,10675170,92395895,33019124,7455819,40474943,4.411927056
vgg19,8,10,188278242,156733336,345011578,0.545715721,335344902,97694348,433039250,170199768,91653849,261853617,172.9283553
vgg19,8,25,213072010,157255434,370327444,0.575361112,360713312,97729549,458442861,162493998,92326125,254820123,66.75958099
vgg19,8,50,231660727,143060350,374721077,0.618221769,364032546,97702421,461734967,145878622,91295453,237174075,35.66789368
vgg19,8,75,272671986,136257924,408929910,0.66679394,399391988,97693757,497085745,138304966,91756818,230061784,28.11888
vgg19,8,100,265645134,141365310,407010444,0.652673999,397318272,97694485,495012757,142720528,91980833,234701361,23.66669727
vgg19,16,10,208898365,205527704,414426069,0.504066661,399110031,180186123,579296154,221763990,173204529,394968519,208.9459752
vgg19,16,25,234274095,206555530,440829625,0.531439091,425715259,180299365,606014624,213214860,173246477,386461337,81.24857765
vgg19,16,50,232512160,211008786,443520946,0.524241667,426706305,180193792,606900097,214680923,172493523,387174446,45.66087749
vgg19,16,75,262989497,209338010,472327507,0.556794794,454961700,180255531,635217231,212157021,173759459,385916480,37.54244286
vgg19,16,100,252978410,220280824,473259234,0.534545111,454299792,180253472,634553264,221612490,172651281,394263771,33.21990154
vgg19,32,10,391207267,411481554,802688821,0.487371017,775136976,350363849,1125500825,443584308,342512658,786096966,395.7156607
vgg19,32,25,391513634,412384078,803897712,0.487019217,776227951,350432906,1126660857,425121517,342057003,767178520,155.9886815
vgg19,32,50,442836977,414828474,857665451,0.516328338,828726772,350379720,1179106492,421560625,341791298,763351923,87.3222274
vgg19,32,75,436351489,421837248,858188737,0.508456322,829666792,350338623,1180005415,426665093,341441363,768106456,71.4945507
vgg19,32,100,443166317,420160136,863326453,0.513324149,833382957,350514550,1183897507,424188169,341451397,765639566,63.22911003
densenet201,1,10,22686222,15030936,37717158,0.601482805,36090672,12206520,48297192,17914337,1749389,19663726,36.48511772
densenet201,1,25,23539259,15030936,38570195,0.610296603,37014917,12208251,49223168,16494139,1727044,18221183,25.71202524
densenet201,1,50,23618096,15045852,38663948,0.610855777,37068764,12201701,49270465,16124930,1211766,17336696,24.98200766
densenet201,1,75,22983408,15036664,38020072,0.604507219,36470994,12196191,48667185,16090340,1525869,17616209,24.84841236
densenet201,1,100,23616130,15033276,38649406,0.611034747,37091712,12193964,49285676,16013985,556161,16570146,24.40603299
densenet201,8,10,115208057,131754314,246962371,0.466500449,236851666,86330659,323182325,142264571,51697893,193962464,118.9249426
densenet201,8,25,122597846,124322140,246919986,0.496508395,237911918,86226254,324138172,128140569,49681340,177821909,48.93665253
densenet201,8,50,129561256,117671768,247233024,0.524045105,239610816,86220044,325830860,119888543,48201829,168090372,30.64201572
densenet201,8,75,131973217,113433588,245406805,0.537773258,238377352,86180435,324557787,115116278,48492046,163608324,25.60817598
densenet201,8,100,135393900,112687900,248081800,0.545763131,241242953,86173198,327416151,114183360,48509115,162692475,25.30612318
densenet201,16,10,137691091,257830364,395521455,0.348125466,382472342,195536851,578009193,272706918,146807045,419513963,186.9851512
densenet201,16,25,131359341,265363338,396722679,0.331111247,384300761,195143217,579443978,272102348,144546326,416648674,81.75461838
densenet201,16,50,133274876,263570528,396845404,0.335835755,384992802,195227201,580220003,267587148,142844019,410431167,49.25181705
densenet201,16,75,128320721,260990144,389310865,0.329609915,378839579,195123691,573963270,263946711,142256852,406203563,41.24226669
densenet201,16,100,136141560,259688214,395829774,0.343939665,384620903,195050947,579671850,262737562,140552263,403289825,39.22926052
densenet201,32,10,190093285,575953100,766046385,0.248148531,736205505,373195792,1109401297,601861481,317181847,919043328,331.7106885
densenet201,32,25,186820181,577253926,764074107,0.244505316,735767874,372640926,1108408800,588447297,316571472,905018769,137.9866168
densenet201,32,50,192049156,569170270,761219426,0.252291454,736466950,372429610,1108896560,574702314,311524150,886226464,85.30582626
densenet201,32,75,197524682,560578408,758103090,0.260551216,734408067,372164778,1106572845,564974396,310907186,875881582,73.70747704
densenet201,32,100,203330697,557593936,760924633,0.267215291,737792283,372156492,1109948775,561955619,309464199,871419818,68.6554895
mobilenet,1,10,2021923,2955048,4976971,0.406255733,4742612,3094102,7836714,3526137,650259,4176396,5.76741281
mobilenet,1,25,2101877,2955048,5056925,0.415643301,4822791,3093477,7916268,3124990,611317,3736307,5.196221123
mobilenet,1,50,2095118,2981840,5076958,0.412671919,4845070,3092578,7937648,3147172,493757,3640929,5.131666536
mobilenet,1,75,2062134,3061084,5123218,0.402507565,4887344,3091566,7978910,3192418,292451,3484869,5.086608653
mobilenet,1,100,2166227,3043144,5209371,0.415832737,4973740,3090665,8064405,3172830,506878,3679708,4.996592641
mobilenet,8,10,11093898,22776914,33870812,0.327535637,32910564,20874532,53785096,24372805,12992906,37365711,19.42938807
mobilenet,8,25,10260681,23747778,34008459,0.301709672,33069815,20856593,53926408,24623982,12632991,37256973,8.054997115
mobilenet,8,50,9161675,24892654,34054329,0.269031141,33122957,20843324,53966281,25190489,12416375,37606864,5.529826241
mobilenet,8,75,9182769,24956776,34139545,0.268977486,33204728,20841871,54046599,25253178,12072906,37326084,5.115981436
mobilenet,8,100,9365962,24886620,34252582,0.273438131,33323202,20840826,54164028,25196808,12631815,37828623,5.035575352
mobilenet,16,10,18851231,47845660,66696891,0.282640326,65055313,41144094,106199407,50667425,31522588,82190013,33.8434935
mobilenet,16,25,16223788,50479016,66702804,0.243224977,64999170,41099302,106098472,51526576,31285129,82811705,13.94063582
mobilenet,16,50,15656851,50932060,66588911,0.235127002,64889056,41092411,105981467,51647160,30740500,82387660,9.228431072
mobilenet,16,75,14222880,51621746,65844626,0.216006694,64229599,41074298,105303897,52100352,31230080,83330432,7.543048935
mobilenet,16,100,15083190,51421272,66504462,0.226799669,64795452,41068488,105863940,51722336,30485702,82208038,7.056399016
mobilenet,32,10,24128868,100916572,125045440,0.192960799,121729851,80305179,202035030,106027294,70266110,176293404,62.47057148
mobilenet,32,25,21770914,103030464,124801378,0.1744445,121587800,80216963,201804763,105019033,70789926,175808959,25.80698622
mobilenet,32,50,19881558,104563740,124445298,0.159761424,121276657,80186714,201463371,105646220,70891089,176537309,16.86753338
mobilenet,32,75,19114134,104921854,124035988,0.154101518,120885436,80163295,201048731,105621688,68979798,174601486,14.40444253
mobilenet,32,100,19209634,104746174,123955808,0.154971633,120811836,80147755,200959591,105660997,69838671,175499668,13.64500798
resnet50,1,10,20486247,10432186,30918433,0.66259008,29473422,8160521,37633943,11724546,1908729,13633275,16.39901155
resnet50,1,25,20360694,10420078,30780772,0.661474443,29342263,8161591,37503854,11034524,2544890,13579414,7.037413735
resnet50,1,50,20440884,10435956,30876840,0.66201347,29411863,8160122,37571985,10778172,1672831,12451003,6.423712325
resnet50,1,75,20064285,10425490,30489775,0.658066024,29067492,8158302,37225794,10798918,2525893,13324811,6.235333443
resnet50,1,100,20424417,10424542,30848959,0.662077998,29485030,8156097,37641127,10669942,2637324,13307266,5.84105279
resnet50,8,10,78037464,73705102,151742566,0.514275368,147002038,40934528,187936566,79375299,28824922,108200221,68.35067451
resnet50,8,25,80442524,70359174,150801698,0.533432482,146637361,40903337,187540698,72537863,30946365,103484228,27.79364286
resnet50,8,50,82404060,67213096,149617156,0.550766117,146020198,40888578,186908776,68519780,28262150,96781930,16.03730689
resnet50,8,75,83693624,65429980,149123604,0.561236597,145631639,40869733,186501372,66376286,30521368,96897654,13.19817828
resnet50,8,100,85736469,62983288,148719757,0.576496834,145526952,40870252,186397204,63669917,29692892,93362809,10.8069846
resnet50,16,10,96016020,164447210,260463230,0.368635604,249738293,98167435,347905728,173731192,83713010,257444202,110.6373858
resnet50,16,25,92082912,168176944,260259856,0.353811431,250893462,98075104,348968566,171320598,82789805,254110403,45.71981171
resnet50,16,50,94907165,163348138,258255303,0.367493577,250242058,98081889,348323947,165883679,82912752,248796431,27.63375874
resnet50,16,75,97683134,159159308,256842442,0.380323179,249587185,98045617,347632802,161023210,82380965,243404175,22.72001188
resnet50,16,100,100021405,156154160,256175565,0.390440849,249270908,98040826,347311734,157771225,81935784,239707009,20.38776258
resnet50,32,10,157130133,342727782,499857915,0.314349595,481567688,188756508,670324196,358885927,170590708,529476635,203.6976756
resnet50,32,25,149935072,348436376,498371448,0.300850044,480395140,188634328,669029468,354371337,169988031,524359368,83.10468872
resnet50,32,50,152234041,345602210,497836251,0.305791394,482130911,188591255,670722166,349426080,167875671,517301751,50.28016605
resnet50,32,75,153332709,342186084,495518793,0.309438736,480565824,188543451,669109275,345148692,169021805,514170497,42.03883453
resnet50,32,100,164107330,328952276,493059606,0.332834667,479690363,188262544,667952907,331348338,168018963,499367301,38.23993004
